match_type,current_path,current_sha,source_repo,source_commit,source_commit_date,source_path,source_sha,note
exact_content,"client/src/components/WhyLaborLadger.jsx",1a606f6653b02fc1e8f51185a382dbf8981e9d05,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/components/WhyLaborLadger.jsx",1a606f6653b02fc1e8f51185a382dbf8981e9d05,"identical file content hash"
exact_content,"client/src/assets/feature3.png",1b03adf1af22045ab405dec1852a1bf827b90149,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/assets/feature3.png",1b03adf1af22045ab405dec1852a1bf827b90149,"identical file content hash"
exact_content,"client/src/assets/lottie/payment.json",1f6257564f6a89dc631282a2f3f94e4ec2bd3c91,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/assets/lottie/payment.json",1f6257564f6a89dc631282a2f3f94e4ec2bd3c91,"identical file content hash"
exact_content,"client/src/contracts/contractInteractions.js",385edda51cc2a4f1922043ac8f6c7c557101ac35,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/contracts/contractInteractions.js",385edda51cc2a4f1922043ac8f6c7c557101ac35,"identical file content hash"
exact_content,"client/src/assets/jobs.jpg",3dd7c10e59e235389466fec22c873557242508af,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/assets/jobs.jpg",3dd7c10e59e235389466fec22c873557242508af,"identical file content hash"
exact_content,"client/src/assets/logo.svg",484de7b05d0ba9c36b59c0f4ee19cf00735d2020,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/assets/logo.svg",484de7b05d0ba9c36b59c0f4ee19cf00735d2020,"identical file content hash"
exact_content,"client/src/assets/feature4.png",599d106a2dc578c38a5e611bd4f48bae72786f1a,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/assets/feature4.png",599d106a2dc578c38a5e611bd4f48bae72786f1a,"identical file content hash"
exact_content,"client/src/contracts/GPSOracle.json",5e70cf2dcffcf7a0424faa72002ad30b55af4884,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/contracts/GPSOracle.json",5e70cf2dcffcf7a0424faa72002ad30b55af4884,"identical file content hash"
exact_content,"client/src/assets/lottie/search-jobs.json",68334dd4eb86bfc1b86c8e9cb1a3f50ccc822de6,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/assets/lottie/search-jobs.json",68334dd4eb86bfc1b86c8e9cb1a3f50ccc822de6,"identical file content hash"
exact_content,"client/src/components/GetLocation.jsx",6b6b666a302f7b77a9ceb32eff133491ddc5682b,worker-dapp/laborledger_demo,d5331046e84981e99daba576b9ab67a84c4dc80c,2025-03-25T02:57:11Z,"src/components/GetLocation.jsx",6b6b666a302f7b77a9ceb32eff133491ddc5682b,"identical file content hash"
